capability,doc_url,rule_file,status,notes
Single-document atomicity vs multi-document transactions,https://www.mongodb.com/docs/manual/core/transactions/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/fundamental-use-transactions-when-required.md,covered,Explicit boundary and examples
Session propagation required in transaction operations,https://www.mongodb.com/docs/manual/core/transactions-in-applications/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/fundamental-propagate-session.md,covered,Every operation carries session
One transaction at a time per session,https://www.mongodb.com/docs/manual/core/transactions/#important,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/fundamental-one-transaction-per-session.md,covered,Parallel operations avoided
Primary read preference for transactions,https://www.mongodb.com/docs/manual/core/transactions/#important,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/fundamental-primary-read-preference.md,covered,Transaction option guidance explicit
Transaction read concern behavior,https://www.mongodb.com/docs/manual/core/transactions/#transactions-and-read-concern,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/consistency-read-concern-levels.md,covered,local/majority/snapshot guidance
Snapshot concern caveats,https://www.mongodb.com/docs/manual/core/transactions/#transactions-and-read-concern,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/consistency-snapshot-majority-coupling.md,covered,Snapshot semantics contextualized
Transaction write concern behavior,https://www.mongodb.com/docs/manual/core/transactions/#transactions-and-write-concern,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/fundamental-commit-write-concern.md,covered,Majority durability guidance
Causal consistency requirements,https://www.mongodb.com/docs/manual/core/read-isolation-consistency-recency/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/consistency-causal-majority-pairing.md,covered,Majority read/write pairing emphasized
TransientTransactionError retry behavior,https://www.mongodb.com/docs/manual/core/transactions-in-applications/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/retry-transient-transaction-error.md,covered,Retry full transaction body
UnknownTransactionCommitResult handling,https://www.mongodb.com/docs/manual/core/transactions-in-applications/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/retry-unknown-commit-result.md,covered,Retry commit loop guidance
TransactionTooLargeForCache behavior (6.2+),https://www.mongodb.com/docs/manual/core/transactions-in-applications/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/retry-transaction-too-large-cache.md,covered,Treat as redesign signal
Upsert duplicate-key retry behavior (8.1+),https://www.mongodb.com/docs/manual/core/transactions-in-applications/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/retry-upsert-duplicate-key-81.md,covered,Version-gated conflict handling
Transaction lifetime limits,https://www.mongodb.com/docs/manual/core/transactions-production-consideration/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/ops-transaction-runtime-limit.md,covered,Short transaction guidance
Lock timeout parameter,https://www.mongodb.com/docs/manual/reference/parameters/#mongodb-parameter-param.maxTransactionLockRequestTimeoutMillis,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/ops-lock-timeout-tuning.md,covered,Operational tuning covered
Operations restrictions in transactions,https://www.mongodb.com/docs/manual/core/transactions-operations/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/ops-restricted-operations.md,covered,Unsupported/restricted command separation
Sharded transaction caveats,https://www.mongodb.com/docs/manual/core/transactions-production-consideration/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/ops-sharded-caveats.md,covered,Distributed scope minimization
withTransaction vs Core API usage,https://www.mongodb.com/docs/manual/core/transactions-in-applications/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/pattern-withtransaction-vs-core-api.md,covered,Callback vs core control tradeoff
Idempotent retries and side-effect safety,https://www.mongodb.com/docs/manual/core/transactions-in-applications/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/pattern-idempotent-transaction-body.md,covered,Outbox/idempotency key pattern
Operational observability for transactions,https://www.mongodb.com/docs/manual/core/transactions-production-consideration/,plugins/mongodb-agent-skills/skills/mongodb-transactions-consistency/rules/pattern-observability.md,covered,Retry/abort/latency instrumentation
Release-line baseline 8.2.5,https://www.mongodb.com/docs/manual/release-notes/8.2-changelog/,packages/mongodb-skills-build/config/release-watch-registry.json,covered,Expected latest pinned to 8.2.5
