topic,source_file,line_range,key_fact
Vector Search supported versions,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/atlas-vector-search/vector-search-stage.txt,87-92,$vectorSearch supported on v6.0.11 and v7.0.2+
Vector Search must be first stage,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/atlas-vector-search/vector-search-stage.txt,329-330,$vectorSearch must be first stage
Troubleshooting version wording,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/atlas-vector-search/troubleshooting.txt,29-54,Error guidance references 7.0.2+ and earlier-than-6.0.11 or 7.0.2 needs upgrade
View support behavior,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/includes/search-shared/fact-partial-indexing-reqs.rst,6-23,8.0 query source collection; 8.1+ query view directly
HNSW maxEdges and numEdgeCandidates ranges,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/includes/avs/index/list-table-fields.rst,115-141,maxEdges 16-64 default 16; numEdgeCandidates 100-3200 default 100
$queryStats introduction version,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/manual/v7.0/source/reference/operator/aggregation/queryStats.txt,13,$queryStats added in 7.0.12 also available in 6.0.7
bulkWrite capability,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/manual/manual/source/includes/bulkWrite-introduction.rst,1-4,multiple collections in one request
bulkWrite ordered/unordered semantics,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/manual/manual/source/reference/command/bulkWrite.txt,221-233,ordered runs series; unordered runs parallel and can reorder
CRUD atomicity baseline,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/manual/manual/source/crud.txt,42-44,writes atomic at single-document level
Automated embedding self-managed preview gate,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/atlas-vector-search/vector-search-type.txt,42-53,Self-managed automated embeddings are Preview and release-sensitive
Automated embedding self-managed syntax,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/atlas-vector-search/vector-search-type.txt,100-106,Self-managed automated embedding uses autoEmbed syntax block
Automated embedding Community 8.2+ boundary,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/atlas-vector-search/crud-embeddings/create-embeddings-automatic.txt,127-131,Feature available for Community Edition 8.2+ self-managed deployments
Automated embedding query.text semantics,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/atlas-vector-search/crud-embeddings/create-embeddings-automatic.txt,79-86,Query path uses query.text and model compatibility rules
Automated embedding Atlas private-preview constraints,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/atlas-vector-search/automated-embedding.txt,51-57,Atlas private preview routes inference through GCP with M10+ requirement
Automated embedding Atlas private-preview syntax,/Users/rom.iluz/Dev/mongodb-best-practices/referance/mongodb-docs/content/atlas/source/atlas-vector-search/automated-embedding.txt,128-134,Atlas private preview syntax uses text type with voyage-3 model set
Skills CLI multi-agent support,/Users/rom.iluz/Dev/mongodb-best-practices/referance/skills-cli/README.md,6-7,skills CLI supports Claude Code Codex Cursor and many additional agents
Skills CLI canonical add command,/Users/rom.iluz/Dev/mongodb-best-practices/referance/skills-cli/README.md,9-13,Current install command is npx skills add source
Skills CLI agent install path mapping,/Users/rom.iluz/Dev/mongodb-best-practices/referance/skills-cli/src/agents.ts,43-50|87-94|123-130,Claude Code Codex Cursor project and global skills paths are explicitly defined
Skills CLI symlink and canonical install model,/Users/rom.iluz/Dev/mongodb-best-practices/referance/skills-cli/src/installer.ts,207-216|249-267,Installer copies to canonical .agents/skills then symlinks to agent paths with copy fallback
