skill,capability,version_scope,status,rule_files,primary_source_url,notes
mongodb-ai,Lexical prefilters via $search.vectorSearch,Preview,covered,mongodb-ai/rules/query-lexical-prefilter.md,https://www.mongodb.com/docs/atlas/atlas-search/operators-collectors/vectorSearch/,Advanced fuzzy/phrase/geo/wildcard prefilters documented with preview caveat
mongodb-ai,$vectorSearch filter operators ($exists/$ne/$not) updates,8.0+,covered,mongodb-ai/rules/query-prefiltering.md,https://www.mongodb.com/docs/atlas/atlas-vector-search/vector-search-stage/#std-label-vectorSearch-filter,Rule includes operator support and prefilter-first guidance
mongodb-ai,$rankFusion stage availability,8.0+,covered,mongodb-ai/rules/hybrid-rankfusion.md,https://www.mongodb.com/docs/manual/reference/operator/aggregation/rankFusion/,Version gate captured and CI-guarded
mongodb-ai,$vectorSearch in rankFusion input pipelines,8.1+,covered,mongodb-ai/rules/hybrid-rankfusion.md,https://www.mongodb.com/docs/manual/reference/operator/aggregation/rankFusion/,8.1 boundary documented and checked
mongodb-ai,$rankFusion on views,8.2+,covered,mongodb-ai/rules/hybrid-rankfusion.md,https://www.mongodb.com/docs/manual/reference/operator/aggregation/rankFusion/,8.2 view boundary documented and checked
mongodb-ai,$scoreFusion stage availability,8.2+,covered,mongodb-ai/rules/hybrid-scorefusion.md,https://www.mongodb.com/docs/manual/reference/operator/aggregation/scoreFusion/,8.2+ gate and preview caveat retained
mongodb-ai,Hybrid fusion preview-state caution,8.2 docs state,covered,mongodb-ai/rules/hybrid-rankfusion.md|mongodb-ai/rules/hybrid-scorefusion.md|mongodb-ai/rules/hybrid-limitations.md,https://www.mongodb.com/docs/manual/release-notes/8.2-compatibility/,Release-sensitive behavior guidance retained
mongodb-ai,Vector index dimensions ceiling,8.2.x,covered,mongodb-ai/rules/index-dimensions-match.md|mongodb-ai/rules/index-vector-definition.md,https://www.mongodb.com/docs/atlas/atlas-vector-search/vector-search-type/#std-label-avs-types-vector-numDimensions,8192 ceiling captured and CI-guarded
mongodb-ai,HNSW option bounds/defaults,8.2.x,covered,mongodb-ai/rules/index-hnsw-options.md,https://www.mongodb.com/docs/atlas/atlas-vector-search/vector-search-type/,maxEdges 16..64 and numEdgeCandidates 100..3200 retained
mongodb-ai,Vector Search on views boundaries,8.0/8.1+,covered,mongodb-ai/rules/index-views-partial.md,https://www.mongodb.com/docs/atlas/atlas-vector-search/view-support/,8.0 source-collection nuance and 8.1+ direct-query behavior retained
mongodb-ai,Automated embedding self-managed path,Community 8.2+ Preview,covered,mongodb-ai/rules/index-automated-embedding.md,https://www.mongodb.com/docs/atlas/atlas-vector-search/crud-embeddings/create-embeddings-automatic/,Rule now uses autoEmbed deployment-specific guidance
mongodb-ai,Automated embedding Atlas track,Private Preview,covered,mongodb-ai/rules/index-automated-embedding.md,https://www.mongodb.com/docs/atlas/atlas-vector-search/automated-embedding/,Rule explicitly separates Atlas private-preview constraints
mongodb-query-and-index-optimize,$queryStats 8.2 diagnostics fields,8.2+,covered,mongodb-query-and-index-optimize/rules/perf-query-stats.md,https://www.mongodb.com/docs/manual/reference/operator/aggregation/queryStats/,cpuNanos and delinquency guidance plus stability caveat retained
mongodb-query-and-index-optimize,$queryStats count/distinct shape coverage,8.1+,covered,mongodb-query-and-index-optimize/rules/perf-query-stats.md,https://www.mongodb.com/docs/manual/reference/operator/aggregation/queryStats/,8.1 compatibility note retained
mongodb-query-and-index-optimize,setQuerySettings comment availability,8.1 and 8.0.4+,covered,mongodb-query-and-index-optimize/rules/perf-query-settings.md,https://www.mongodb.com/docs/manual/reference/command/setQuerySettings/,Version split retained and CI-guarded
mongodb-query-and-index-optimize,Index filters deprecation migration,8.0+,covered,mongodb-query-and-index-optimize/rules/perf-query-settings.md,https://www.mongodb.com/docs/manual/reference/command/setQuerySettings/,Guidance prefers query settings over deprecated index filters
mongodb-query-and-index-optimize,bulkWrite cross-collection semantics,8.0+,covered,mongodb-query-and-index-optimize/rules/query-bulkwrite-command.md,https://www.mongodb.com/docs/manual/reference/command/bulkWrite/,Single-request batching preserved with explicit transaction fallback for atomicity
mongodb-schema-design,errorAndLog validation action boundary,8.1+,covered,mongodb-schema-design/rules/validation-action-levels.md,https://www.mongodb.com/docs/manual/core/schema-validation/specify-validation-level/,8.1+ support and downgrade caveat retained
mongodb-schema-design,errorAndLog rollout rollback safety,8.1+ and downgrade paths,covered,mongodb-schema-design/rules/validation-rollout-strategy.md,https://www.mongodb.com/docs/manual/core/schema-validation/handle-invalid-documents/,Rollback steps documented for downgrade-safe operations
