capability_id,skill,capability,introduced_version,status,severity,rule_files,fix_action,source_ids
AI-001,mongodb-ai,Lexical prefilter via $search.vectorSearch,2025-11,Covered,P2,query-lexical-prefilter.md,Retain and add preview lifecycle note,SRC-001|SRC-007
AI-002,mongodb-ai,$rankFusion baseline,8.0,Covered,P2,hybrid-rankfusion.md,Retain baseline statement,SRC-004
AI-003,mongodb-ai,$scoreFusion baseline,8.2,Covered,P2,hybrid-scorefusion.md,Retain baseline statement,SRC-005
AI-004,mongodb-ai,$rankFusion input supports $vectorSearch,8.1,Partial,P1,hybrid-rankfusion.md,Add explicit version gate note,SRC-003
AI-005,mongodb-ai,$vectorSearch in $unionWith,8.0,Partial,P1,query-vectorsearch-first.md,Add 8.0 unionWith nuance,SRC-006
AI-006,mongodb-ai,Search/vector indexes on views and vector querying on views,8.1,Incorrect,P0,index-views-partial.md,Fix version statements,SRC-001
AI-007,mongodb-ai,HNSW maxEdges/numEdgeCandidates bounds/defaults,2025-06,Incorrect,P0,index-hnsw-options.md,Replace range/default table,SRC-014
AI-008,mongodb-ai,Vector dimension ceiling 8192,2025-03,Partial,P1,index-vector-definition.md|index-dimensions-match.md,Add explicit 8192 limit note,SRC-001
AI-009,mongodb-ai,$scoreFusion syntax correctness,8.2,Incorrect,P1,hybrid-weights.md,Fix invalid example structure,SRC-005
AI-010,mongodb-ai,Reference URL health,N/A,Incorrect,P1,perf-index-in-memory.md,Replace broken URL,SRC-015
QI-001,mongodb-query-and-index-optimize,$queryStats origin/pre-8.0 availability,pre-8.0,Incorrect,P0,perf-query-stats.md,Correct intro version framing,SRC-008|SRC-009
QI-002,mongodb-query-and-index-optimize,$queryStats includes count/distinct shapes,8.1,Missing,P1,perf-query-stats.md,Add 8.1 compatibility note,SRC-009
QI-003,mongodb-query-and-index-optimize,setQuerySettings comment field,8.1 and 8.0.4,Missing,P1,perf-query-settings.md,Add version-gated comment examples,SRC-010|SRC-011
QI-004,mongodb-query-and-index-optimize,Query settings replace index filters,8.0,Partial,P1,perf-query-settings.md,Add migration guidance,SRC-010|SRC-008
QI-005,mongodb-query-and-index-optimize,bulkWrite atomicity phrasing,8.0,Incorrect,P0,query-bulkwrite-command.md,Remove atomicity overclaim,SRC-012|SRC-008
QI-006,mongodb-query-and-index-optimize,updateOne/replaceOne sort option,8.0,Covered,P2,query-updateone-sort.md,Retain and keep verification,SRC-008
QI-007,mongodb-query-and-index-optimize,Plan-cache rule validator compliance,N/A,Incorrect,P1,perf-query-plan-cache.md,Add labeled bad/good examples,INTERNAL-VALIDATOR
QI-008,mongodb-query-and-index-optimize,Reference URL health,N/A,Incorrect,P1,query-avoid-ne-nin.md,Replace broken generic URL,SRC-016
SC-001,mongodb-schema-design,errorAndLog action,8.1,Covered,P2,validation-action-levels.md,Retain guidance,SRC-013
SC-002,mongodb-schema-design,errorAndLog downgrade caveat,8.1,Partial,P1,validation-action-levels.md|validation-rollout-strategy.md,Add explicit rollback/downgrade warning,SRC-009|SRC-013
BLD-001,tooling,mongodb-ai build parity,N/A,Incorrect,P1,packages/mongodb-skills-build/package.json|packages/mongodb-skills-build/src/config.ts,Add mongodb-ai build/extract path and mappings,INTERNAL-BUILD
