source_url,area,claim_verified,checked_at_utc
https://www.mongodb.com/docs/manual/release-notes/8.2-changelog/,release-line,8.2.x patch line includes 8.2.1 and later patch entries (including 8.2.5),2026-02-10T00:00:00Z
https://www.mongodb.com/docs/manual/release-notes/8.2/,release-line,8.2 release includes 8.1 changes and references hybrid search updates,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/atlas/atlas-vector-search/changelog/,mongodb-ai,Atlas Vector Search changelog includes lexical prefilters and ongoing vector feature updates,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/atlas/atlas-vector-search/hybrid-search/,mongodb-ai,Hybrid search docs define rankFusion/scoreFusion usage boundaries and constraints,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/manual/reference/operator/aggregation/rankFusion/,mongodb-ai,rankFusion stage documentation and version-sensitive behavior notes,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/manual/reference/operator/aggregation/scoreFusion/,mongodb-ai,scoreFusion is documented for 8.2+ usage and score-based combination semantics,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/manual/reference/operator/aggregation/queryStats/,query-index,queryStats command coverage and 8.2 metrics guidance (including cpuNanos/delinquency fields),2026-02-10T00:00:00Z
https://www.mongodb.com/docs/manual/reference/command/setQuerySettings/,query-index,setQuerySettings comment field availability is version-gated (8.1 and 8.0.4+),2026-02-10T00:00:00Z
https://www.mongodb.com/docs/manual/core/schema-validation/specify-validation-level/,schema,errorAndLog validation action compatibility caveat requires downgrade-safe rollout planning,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/v8.2/reference/operator/aggregation/rankFusion/,mongodb-ai,8.2 compatibility docs classify rankFusion as Preview feature,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/v8.2/reference/operator/aggregation/scoreFusion/,mongodb-ai,8.2 compatibility docs classify scoreFusion as Preview feature and 8.2+ availability,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/v8.2/reference/command/setQuerySettings/,query-index,setQuerySettings docs include 8.1 and 8.0.4+ comment field notes,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/v8.2/reference/operator/aggregation/queryStats/,query-index,queryStats docs describe 8.2 additions including cpuNanos and delinquency metrics,2026-02-10T00:00:00Z
