task_id,phase,priority,skill,file_or_area,task_summary,dependency,acceptance_criteria
FIX-001,Wave-1,P0,mongodb-query-and-index-optimize,perf-query-stats.md,Correct queryStats version framing and stale reset snippet,None,Rule text no longer claims 8.0 introduced queryStats and examples remain valid
FIX-002,Wave-1,P0,mongodb-query-and-index-optimize,query-bulkwrite-command.md,Remove cross-collection atomicity claim and add transaction note,None,Rule matches bulkWrite command semantics
FIX-003,Wave-1,P0,mongodb-ai,index-hnsw-options.md,Fix HNSW bounds/defaults to official values,None,Table reflects maxEdges 16..64 default 16 and numEdgeCandidates 100..3200 default 100
FIX-004,Wave-1,P0,mongodb-ai,index-views-partial.md,Correct vector-search-on-view version boundaries,None,Rule aligns with 8.1 support statement
FIX-005,Wave-1,P1,mongodb-query-and-index-optimize,perf-query-plan-cache.md,Add labeled incorrect/correct examples for validator,None,pnpm validate passes this file
FIX-006,Wave-2,P1,mongodb-query-and-index-optimize,perf-query-settings.md,Add comment field version note 8.1/8.0.4,FIX-001,Rule includes version-specific guidance
FIX-007,Wave-2,P1,mongodb-query-and-index-optimize,perf-query-settings.md,Add index filters deprecation migration note,FIX-006,Rule explicitly prioritizes query settings over index filters
FIX-008,Wave-2,P1,mongodb-query-and-index-optimize,perf-query-stats.md,Add 8.1 count/distinct compatibility section,FIX-001,Rule includes count/distinct shape awareness
FIX-009,Wave-2,P1,mongodb-ai,query-vectorsearch-first.md,Add unionWith-from-8.0 nuance,FIX-004,Rule no longer overstates first-stage restriction
FIX-010,Wave-2,P1,mongodb-ai,hybrid-rankfusion.md,Add version gate note for vectorSearch input behavior,None,Rule explains 8.1 nuance clearly
FIX-011,Wave-2,P1,mongodb-ai,hybrid-weights.md,Fix invalid scoreFusion syntax example,FIX-010,All scoreFusion snippets follow official syntax
FIX-012,Wave-2,P1,mongodb-ai,index-vector-definition.md|index-dimensions-match.md,Add explicit 8192 dimension ceiling mention,None,Rules include current maximum dimension guidance
FIX-013,Wave-2,P1,mongodb-schema-design,validation-action-levels.md,Add errorAndLog downgrade caveat,None,Rule explicitly warns about downgrade constraints
FIX-014,Wave-2,P2,mongodb-schema-design,validation-rollout-strategy.md,Add rollback pathway for validationAction transitions,FIX-013,Operational rollback guidance present
FIX-015,Wave-3,P1,tooling,packages/mongodb-skills-build/package.json,Add mongodb-ai build and extract scripts,FIX-005,Build scripts include all three skills
FIX-016,Wave-3,P1,tooling,packages/mongodb-skills-build/src/config.ts,Add mongodb-ai section mapping/display handling,FIX-015,Build can generate mongodb-ai AGENTS output correctly
FIX-017,Wave-3,P1,tooling,all skills AGENTS.md,Regenerate compiled artifacts after fixes,FIX-016,All AGENTS artifacts synchronized and deterministic
FIX-018,Wave-4,P1,mongodb-ai,perf-index-in-memory.md,Replace broken cluster tier reference URL,None,URL returns HTTP 200
FIX-019,Wave-4,P1,mongodb-query-and-index-optimize,query-avoid-ne-nin.md,Replace broken generic query operator URL,None,URL returns HTTP 200
FIX-020,Wave-4,P1,tooling,CI config,Add validate+build+link-health release gates,FIX-015,CI fails on validator or link health regressions
FIX-021,Wave-5,P2,audit process,audit docs,Add monthly docs-drift check procedure,FIX-020,Documented recurring process exists and is adopted
FIX-022,Wave-2,P1,mongodb-ai,hybrid/view-related rules,Add explicit 8.2 note that $rankFusion can run on views,FIX-009,All hybrid/view rules use correct 8.1 vs 8.2 boundaries
FIX-023,Wave-2,P1,mongodb-query-and-index-optimize,perf-query-stats.md and related diagnostics,Add 8.2 queryStats metrics coverage (cpuNanos and delinquency fields),FIX-001,Performance diagnostics include 8.2 fields with correct gates
FIX-024,Wave-5,P2,mongodb-ai,hybrid fusion rules,Add release-sensitivity caveats to fusion guidance,FIX-022,Fusion guidance explicitly warns about release-sensitive behavior
FIX-025,Wave-5,P2,mongodb-query-and-index-optimize,perf-query-stats.md,Add output stability caveat for queryStats diagnostics,FIX-023,Rule discourages brittle parser assumptions against queryStats payload shape
FIX-026,Wave-5,P2,audit process,web revalidation evidence,Capture refreshed 8.2.x web source evidence and drift memo,FIX-021,Audit corpus includes post-sprint release-drift verification artifact
FIX-027,Wave-5,P1,tooling,check-version-claims gate,Add CI-enforced critical version-claim checks,FIX-020,Build fails if critical 8.0/8.1/8.2 boundaries regress in key rules
FIX-028,Wave-5,P1,query+schema rules,verify sections,Normalize Query and Schema rules to include explicit Verify-with sections,FIX-027,All Query/Schema rules contain a parseable `## Verify with` section
FIX-029,Wave-5,P1,tooling,check-version-claims gate,Enforce Verify-with presence and fusion preview guidance in automated checks,FIX-028,CI fails when required verify/preview safeguards are missing
FIX-030,Wave-5,P1,section summaries,_sections.md,Correct section-level factual drift for bulkWrite and queryStats claims,None,No section-level text contradicts corrected rule-level guidance
FIX-031,Wave-5,P2,audit process,version reconciliation memo+web evidence,Refresh 8.2.x reconciliation with compatibility-versioned docs and preview-state references,FIX-026,Audit artifacts explicitly cite current compatibility docs for fusion/query claims
FIX-032,Wave-5,P1,tooling,version claim registry,Externalize version-sensitive assertions into a machine-readable registry,FIX-027,Version claim rules are declared in a single registry file rather than hardcoded in script logic
FIX-033,Wave-5,P1,tooling,check-version-claims gate,Refactor claim checker to registry-driven validation,FIX-032,Checker loads registry and enforces path/file-level requirements and prohibitions
FIX-034,Wave-5,P1,tooling+content,_sections + rule coverage guards,Add CI checks for Verify-with coverage and section summary drift,FIX-033,CI fails if Query/Schema Verify-with sections are missing or section summaries regress on critical claims
FIX-035,Wave-5,P2,audit process,reference repo snapshots,Refresh and record latest pulled SHAs for MongoDB docs and Vercel agent-skills references,None,Audit artifacts include current upstream SHAs used during remediation
FIX-036,Wave-6,P1,tooling,packages/mongodb-skills-build/config/version-claim-registry.json,Expand registry checks for lexical prefilter HNSW dimension queryStats and bulkWrite invariants,FIX-033,CI fails if stakeholder-critical MongoDB.AI and Query semantics drift
FIX-037,Wave-6,P2,audit process,29-mongodb-8.2.1-plus-agentskills-research.md,Reconcile 8.2.1/8.2.5 release-line facts with refreshed web evidence,FIX-026,Audit explicitly documents 8.2.x patch-line state and source-backed version clarifications
FIX-038,Wave-6,P2,audit process,agentskills.io reference evidence,Capture Agent Skills specification/integration references and map to governance checks,None,Audit corpus includes external skill best-practice references with explicit usage scope
FIX-039,Wave-6,P2,program management,sprint-7 artifacts,Record Sprint 7 execution and status updates across backlog and status trackers,FIX-036,Sprint 7 tasks and outcomes are traceable in backlog and status files
FIX-040,Wave-7,P1,mongodb-ai,mongodb-ai/rules/*,Normalize MongoDB.AI rule set with required Verify-with sections,FIX-028,All MongoDB.AI rules contain parseable `## Verify with` sections
FIX-041,Wave-7,P1,tooling,version-claim-registry path rules,Enforce Verify-with section requirement for MongoDB.AI rules in CI checks,FIX-040,check-version-claims fails when MongoDB.AI verify sections are removed
FIX-042,Wave-7,P0,mongodb-ai,index-automated-embedding.md,Reconcile automated embedding guidance with Community 8.2+ autoEmbed and Atlas private-preview boundaries,FIX-037,Rule no longer mixes deployment-specific syntax and constraints
FIX-043,Wave-7,P1,tooling,version-claim-registry file rules,Add explicit anti-drift assertions for automated embedding deployment/version claims,FIX-042,check-version-claims enforces autoEmbed plus version-boundary wording
FIX-044,Wave-7,P2,audit process,sprint-8 evidence artifacts,Capture sprint-8 web/source evidence and reconciliation memo,FIX-042,Audit corpus includes explicit evidence for automated-embedding capability reconciliation
FIX-045,Wave-8,P1,tooling,check-semantic-invariants,Add rule-aware semantic invariant checker for high-risk skills content,FIX-033,Semantic gate fails when required high-risk headings/phrases/example semantics drift
FIX-046,Wave-8,P1,tooling,CI workflow + package scripts,Wire semantic invariant checks into scripts and CI release gates,FIX-045,CI executes semantic gate alongside validate/build/link/version checks
FIX-047,Wave-8,P2,audit process,capability matrix baseline,Create MongoDB 8.2.5 capability matrix per skill with rule/source mapping,FIX-037,Matrix tracks latest capability coverage across all three skills
FIX-048,Wave-8,P2,audit process,sprint-9 evidence and governance updates,Refresh web evidence and update backlog/readme/runbook for Sprint 9,FIX-047,Sprint 9 deliverables and evidence are traceable and indexed
FIX-049,Wave-9,P1,reference research,vercel skills CLI + agent-skills,Pull latest Vercel skills references and audit cross-agent install/deploy model for Claude Codex Cursor,None,Reference SHAs and installer architecture are documented with source-backed details
FIX-050,Wave-9,P1,documentation,README.md,Replace deprecated add-skill install guidance with skills CLI commands,FIX-049,Top-level install docs use current npx skills add flow and multi-agent examples
FIX-051,Wave-9,P1,documentation,AGENTS.md + mongodb-ai/README.md,Add explicit Claude Codex Cursor installation guidance and fallback paths,FIX-050,Contributor and skill docs include current multi-agent installation options
FIX-052,Wave-9,P1,validation,skills CLI discovery check,Run live npx skills add --list against repository to verify discoverability,FIX-049,Command output confirms all 3 MongoDB skills are discoverable by skills CLI
FIX-053,Wave-9,P2,audit process,sprint-10 artifacts,Capture sprint-10 parity audit sources backlog updates and execution log,FIX-052,Audit corpus includes sprint-10 findings plus status and source evidence CSVs
